"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 07 17:28:49 CST 2022","Mon Mar 07 17:28:52 CST 2022","3722","TestCases","test_nt","TestNt","","","test_click_nt_11",""
"passed","Mon Mar 07 17:21:01 CST 2022","Mon Mar 07 17:21:05 CST 2022","3765","TestCases","test_login","TestLogin","","","test_login_success",""
"passed","Mon Mar 07 17:23:22 CST 2022","Mon Mar 07 17:23:25 CST 2022","3694","TestCases","test_hp_1","TestHp_1","","","test_click_hp_4",""
"passed","Mon Mar 07 17:22:50 CST 2022","Mon Mar 07 17:23:04 CST 2022","14511","TestCases","test_ed","TestEd","","","test_click_ed_1",""
"passed","Mon Mar 07 17:25:14 CST 2022","Mon Mar 07 17:25:44 CST 2022","29719","TestCases","test_hp_4","TestHp_4","","","test_click_hp_1",""
"passed","Mon Mar 07 17:28:31 CST 2022","Mon Mar 07 17:28:35 CST 2022","3715","TestCases","test_nt","TestNt","","","test_click_nt_7",""
"passed","Mon Mar 07 17:22:04 CST 2022","Mon Mar 07 17:22:08 CST 2022","3631","TestCases","test_fp","TestFp","","","test_click_fp_5",""
"passed","Mon Mar 07 17:20:45 CST 2022","Mon Mar 07 17:20:50 CST 2022","4763","TestCases","test_login","TestLogin","","","test_login_fail_invalid_data_user[case2]",""
"passed","Mon Mar 07 17:23:48 CST 2022","Mon Mar 07 17:24:17 CST 2022","29344","TestCases","test_hp_2","TestHp_2","","","test_click_hp_1",""
"passed","Mon Mar 07 17:21:36 CST 2022","Mon Mar 07 17:21:40 CST 2022","4701","TestCases","test_home","TestHome","","","test_click_home_8",""
"passed","Mon Mar 07 17:28:44 CST 2022","Mon Mar 07 17:28:48 CST 2022","3678","TestCases","test_nt","TestNt","","","test_click_nt_10",""
"passed","Mon Mar 07 17:21:09 CST 2022","Mon Mar 07 17:21:13 CST 2022","3682","TestCases","test_home","TestHome","","","test_click_home_2",""
"passed","Mon Mar 07 17:21:13 CST 2022","Mon Mar 07 17:21:17 CST 2022","3717","TestCases","test_home","TestHome","","","test_click_home_3",""
"passed","Mon Mar 07 17:27:46 CST 2022","Mon Mar 07 17:27:50 CST 2022","3730","TestCases","test_cs","TestCs","","","test_click_cs_4",""
"passed","Mon Mar 07 17:21:55 CST 2022","Mon Mar 07 17:21:59 CST 2022","3983","TestCases","test_fp","TestFp","","","test_click_fp_3",""
"passed","Mon Mar 07 17:22:13 CST 2022","Mon Mar 07 17:22:17 CST 2022","3717","TestCases","test_fp","TestFp","","","test_click_fp_7",""
"passed","Mon Mar 07 17:21:17 CST 2022","Mon Mar 07 17:21:21 CST 2022","3699","TestCases","test_home","TestHome","","","test_click_home_4",""
"passed","Mon Mar 07 17:23:17 CST 2022","Mon Mar 07 17:23:20 CST 2022","3700","TestCases","test_hp_1","TestHp_1","","","test_click_hp_3",""
"passed","Mon Mar 07 17:23:41 CST 2022","Mon Mar 07 17:23:45 CST 2022","3741","TestCases","test_hp_1","TestHp_1","","","test_click_hp_8",""
"passed","Mon Mar 07 17:23:12 CST 2022","Mon Mar 07 17:23:15 CST 2022","3662","TestCases","test_hp_1","TestHp_1","","","test_click_hp_2",""
"passed","Mon Mar 07 17:28:27 CST 2022","Mon Mar 07 17:28:31 CST 2022","3740","TestCases","test_nt","TestNt","","","test_click_nt_6",""
"passed","Mon Mar 07 17:21:06 CST 2022","Mon Mar 07 17:21:09 CST 2022","3627","TestCases","test_home","TestHome","","","test_click_home_1",""
"passed","Mon Mar 07 17:21:26 CST 2022","Mon Mar 07 17:21:30 CST 2022","4500","TestCases","test_home","TestHome","","","test_click_home_6",""
"passed","Mon Mar 07 17:23:07 CST 2022","Mon Mar 07 17:23:10 CST 2022","3614","TestCases","test_hp_1","TestHp_1","","","test_click_hp_1",""
"passed","Mon Mar 07 17:22:18 CST 2022","Mon Mar 07 17:22:21 CST 2022","3667","TestCases","test_fc","TestFc","","","test_click_fc_1",""
"passed","Mon Mar 07 17:20:40 CST 2022","Mon Mar 07 17:20:45 CST 2022","4784","TestCases","test_login","TestLogin","","","test_login_fail_invalid_data_user[case1]",""
"passed","Mon Mar 07 17:27:59 CST 2022","Mon Mar 07 17:28:03 CST 2022","3696","TestCases","test_cs","TestCs","","","test_click_cs_7",""
"passed","Mon Mar 07 17:28:23 CST 2022","Mon Mar 07 17:28:26 CST 2022","3733","TestCases","test_nt","TestNt","","","test_click_nt_5",""
"passed","Mon Mar 07 17:20:34 CST 2022","Mon Mar 07 17:20:39 CST 2022","4788","TestCases","test_login","TestLogin","","","test_login_fail_invalid_data_user[case0]",""
"passed","Mon Mar 07 17:21:21 CST 2022","Mon Mar 07 17:21:26 CST 2022","4513","TestCases","test_home","TestHome","","","test_click_home_5",""
"passed","Mon Mar 07 17:21:50 CST 2022","Mon Mar 07 17:21:54 CST 2022","3596","TestCases","test_fp","TestFp","","","test_click_fp_2",""
"passed","Mon Mar 07 17:23:32 CST 2022","Mon Mar 07 17:23:35 CST 2022","3751","TestCases","test_hp_1","TestHp_1","","","test_click_hp_6",""
"passed","Mon Mar 07 17:23:36 CST 2022","Mon Mar 07 17:23:40 CST 2022","3735","TestCases","test_hp_1","TestHp_1","","","test_click_hp_7",""
"passed","Mon Mar 07 17:26:25 CST 2022","Mon Mar 07 17:26:55 CST 2022","29574","TestCases","test_hp_6","TestHp_5","","","test_click_hp_1",""
"passed","Mon Mar 07 17:28:13 CST 2022","Mon Mar 07 17:28:17 CST 2022","3707","TestCases","test_nt","TestNt","","","test_click_nt_3",""
"passed","Mon Mar 07 17:22:26 CST 2022","Mon Mar 07 17:22:40 CST 2022","13667","TestCases","test_en","TestEd","","","test_click_ed_1",""
"passed","Mon Mar 07 17:23:27 CST 2022","Mon Mar 07 17:23:30 CST 2022","3726","TestCases","test_hp_1","TestHp_1","","","test_click_hp_5",""
"passed","Mon Mar 07 17:22:41 CST 2022","Mon Mar 07 17:22:48 CST 2022","7470","TestCases","test_en","TestEd","","","test_click_ed_2",""
"passed","Mon Mar 07 17:27:55 CST 2022","Mon Mar 07 17:27:59 CST 2022","3741","TestCases","test_cs","TestCs","","","test_click_cs_6",""
"passed","Mon Mar 07 17:20:51 CST 2022","Mon Mar 07 17:20:55 CST 2022","4803","TestCases","test_login","TestLogin","","","test_login_fail_invalid_data_user[case3]",""
"passed","Mon Mar 07 17:25:46 CST 2022","Mon Mar 07 17:26:23 CST 2022","36839","TestCases","test_hp_5","TestHp_5","","","test_click_hp_1",""
"passed","Mon Mar 07 17:27:38 CST 2022","Mon Mar 07 17:27:41 CST 2022","3720","TestCases","test_cs","TestCs","","","test_click_cs_2",""
"passed","Mon Mar 07 17:21:31 CST 2022","Mon Mar 07 17:21:36 CST 2022","5053","TestCases","test_home","TestHome","","","test_click_home_7",""
"passed","Mon Mar 07 17:21:59 CST 2022","Mon Mar 07 17:22:03 CST 2022","3625","TestCases","test_fp","TestFp","","","test_click_fp_4",""
"passed","Mon Mar 07 17:27:51 CST 2022","Mon Mar 07 17:27:54 CST 2022","3731","TestCases","test_cs","TestCs","","","test_click_cs_5",""
"passed","Mon Mar 07 17:24:19 CST 2022","Mon Mar 07 17:25:11 CST 2022","51791","TestCases","test_hp_3","TestHp_3","","","test_click_hp_1",""
"passed","Mon Mar 07 17:22:21 CST 2022","Mon Mar 07 17:22:25 CST 2022","3612","TestCases","test_fc","TestFc","","","test_click_fc_2",""
"passed","Mon Mar 07 17:28:36 CST 2022","Mon Mar 07 17:28:39 CST 2022","3692","TestCases","test_nt","TestNt","","","test_click_nt_8",""
"passed","Mon Mar 07 17:28:04 CST 2022","Mon Mar 07 17:28:08 CST 2022","3738","TestCases","test_nt","TestNt","","","test_click_nt_1",""
"passed","Mon Mar 07 17:28:09 CST 2022","Mon Mar 07 17:28:13 CST 2022","3699","TestCases","test_nt","TestNt","","","test_click_nt_2",""
"passed","Mon Mar 07 17:21:41 CST 2022","Mon Mar 07 17:21:45 CST 2022","4164","TestCases","test_home","TestHome","","","test_click_home_9",""
"passed","Mon Mar 07 17:27:42 CST 2022","Mon Mar 07 17:27:46 CST 2022","3648","TestCases","test_cs","TestCs","","","test_click_cs_3",""
"passed","Mon Mar 07 17:28:40 CST 2022","Mon Mar 07 17:28:44 CST 2022","3719","TestCases","test_nt","TestNt","","","test_click_nt_9",""
"passed","Mon Mar 07 17:22:08 CST 2022","Mon Mar 07 17:22:12 CST 2022","3864","TestCases","test_fp","TestFp","","","test_click_fp_6",""
"passed","Mon Mar 07 17:28:18 CST 2022","Mon Mar 07 17:28:22 CST 2022","3700","TestCases","test_nt","TestNt","","","test_click_nt_4",""
"passed","Mon Mar 07 17:21:46 CST 2022","Mon Mar 07 17:21:50 CST 2022","3610","TestCases","test_fp","TestFp","","","test_click_fp_1",""
"passed","Mon Mar 07 17:20:56 CST 2022","Mon Mar 07 17:21:01 CST 2022","4774","TestCases","test_login","TestLogin","","","test_login_fail_invalid_data_pwd[case0]",""
"passed","Mon Mar 07 17:26:56 CST 2022","Mon Mar 07 17:27:37 CST 2022","40590","TestCases","test_cs","TestCs","","","test_click_cs_1",""
